ticker,quarter,revenue,gross_margin,fcf_margin,market_cap,ev,revenue_growth_qoq
ABNB,2025-03-31,2272000000.0,0.7772887323943662,0.7874119718309859,88206696448,82886696448.0,
ABNB,2025-06-30,3096000000.0,0.8242894056847545,0.31492248062015504,88206696448,83086696448.0,0.36267605633802824
ABNB,2025-09-30,4095000000.0,0.865934065934066,0.3311355311355311,88206696448,82956696448.0,0.32267441860465107
ABNB,2025-12-31,2778000000.0,0.8246940244780417,0.18934485241180707,88206696448,83713696448.0,-0.3216117216117216
ABNB,2026-03-31,2678000000.0,0.7830470500373413,0.6377893950709485,88206696448,83703696448.0,-0.035997120230381596
ADBE,2025-05-31,5873000000.0,0.8913672739656053,0.3650604461093138,88896897024,90528897024.0,
ADBE,2025-08-31,5988000000.0,0.8927855711422845,0.3550434201736807,88896897024,90550897024.0,0.019581134003064937
ADBE,2025-11-30,6194000000.0,0.8952211817888279,0.5046819502744592,88896897024,90113897024.0,0.034402137608550376
ADBE,2026-02-28,6398000000.0,0.8962175679899969,0.4565489215379806,88896897024,89220897024.0,0.03293509848240239
ADBE,2026-05-31,6618000000.0,0.8919613176186159,0.3183741311574494,88896897024,91042897024.0,0.034385745545483015
AFRM,2025-03-31,783134000.0,0.6539315110823946,0.2009566689736367,27937236992,33944370992.0,
AFRM,2025-06-30,876417000.0,0.6771571067197464,0.02683311711205967,27937236992,34436087992.0,0.11911499181493834
AFRM,2025-09-30,933337000.0,0.6765230565165636,0.34307758076664696,27937236992,34466679992.0,0.06494625275411137
AFRM,2025-12-31,1123020000.0,0.6941701839682285,0.10510409431710922,27937236992,35591200992.0,0.20323098730683564
AFRM,2026-03-31,1038765000.0,0.6592973386665897,0.3129639523857658,27937236992,35304572992.0,-0.07502537799861086
AI,2025-04-30,108723000.0,0.620935772559624,0.0949753042134599,1391271040,1231708040.0,
AI,2025-07-31,70261000.0,0.3763681131780077,-0.4881086235607236,1391271040,1315260040.0,-0.3537613936333619
AI,2025-10-31,75147000.0,0.40427428906010887,-0.6238705470610936,1391271040,1293240040.0,0.069540712486301
AI,2026-01-31,53260000.0,0.17339466766804357,-1.0551257979722117,1391271040,1307797040.0,-0.29125580528830164
AI,2026-04-30,51600000.0,0.21943798449612403,-1.0612984496124032,1391271040,1330651040.0,-0.03116785580172743
APP,2025-03-31,1158974000.0,0.8691256231805028,0.7176278328935766,170314629120,173473569120.0,
APP,2025-06-30,1258754000.0,0.8768019803710654,0.613484445729666,170314629120,172632979120.0,0.08609338949795253
APP,2025-09-30,1405045000.0,0.8755520285827144,0.7497425349366035,170314629120,172159695120.0,0.11621889582873224
APP,2025-12-31,1657944000.0,0.8893032575286017,0.7753072480132019,170314629120,171372274120.0,0.17999352333911012
APP,2026-03-31,1842449000.0,0.8894775377771651,0.7009111242699255,170314629120,171069980120.0,0.11128542339186365
APPF,2025-03-31,217702000.0,0.6348310993927478,0.17270856491901773,6208250880,6192014880.0,
APPF,2025-06-30,235575000.0,0.6441600339594609,0.2187243977501857,6208250880,6174418880.0,0.08209846487400219
APPF,2025-09-30,249353000.0,0.6331465833577298,0.33580907388320974,6208250880,6171403880.0,0.058486681523930883
APPF,2025-12-31,248192000.0,0.6352017792676637,0.25242554151624547,6208250880,6139443880.0,-0.0046560498570299425
APPF,2026-03-31,262214000.0,0.6377958461409383,0.124947561915077,6208250880,6097817880.0,0.056496583290355895
ASAN,2025-04-30,187267000.0,0.8973284134417703,0.021333176694238707,1689636992,1755098992.0,
ASAN,2025-07-31,196936000.0,0.8973219726205468,0.17966242840313604,1689636992,1757830992.0,0.05163216156610617
ASAN,2025-10-31,201033000.0,0.8890381181199106,0.06679997811304611,1689636992,1756130992.0,0.020803712881342085
ASAN,2026-01-31,205570000.0,0.8783674660699519,0.11760470885829645,1689636992,1739219992.0,0.022568434038192642
ASAN,2026-04-30,205095000.0,0.876086691533192,0.16748336136912162,1689636992,1744220992.0,-0.0023106484409203265
BBAI,2025-03-31,34757000.0,0.21256149840319935,-0.23834047817705786,1566164608,1569821608.0,
BBAI,2025-06-30,32472000.0,0.2498460211874846,-0.15496427691549644,1566164608,1287959608.0,-0.0657421526598958
BBAI,2025-09-30,33143000.0,0.2241498959056211,-0.3293304770238059,1566164608,1222474608.0,0.020663956639566328
BBAI,2025-12-31,27300000.0,0.2032234432234432,-0.809010989010989,1566164608,1593850608.0,-0.17629665389373317
BBAI,2026-03-31,34435000.0,0.34038042689124437,-0.5320168433280092,1566164608,1489569608.0,0.2613553113553113
BILL,2025-03-31,358217000.0,0.8123707138410516,0.2538210079365301,4119320832,4845460832.0,
BILL,2025-06-30,383349000.0,0.8080391497043165,0.17863356888892368,4119320832,4853816832.0,0.07015859102164335
BILL,2025-09-30,395741000.0,0.8054207170851643,0.2078682774845164,4119320832,4941409832.0,0.03232563538707556
BILL,2025-12-31,414671000.0,0.7984233283735781,0.21977181910478427,4119320832,4911880832.0,0.047834315878314326
BILL,2026-03-31,406563000.0,0.8162449608055824,0.20841050464503658,4119320832,5010502832.0,-0.019552850331949867
BRZE,2025-04-30,162059000.0,0.6861821929050531,0.14113378460930895,2830433792,2686245792.0,
BRZE,2025-07-31,180111000.0,0.6767493379082898,0.01961568144088923,2830433792,2833877792.0,0.11139153024515758
BRZE,2025-10-31,190842000.0,0.6718175244443048,0.09316083461711783,2830433792,2816564792.0,0.05957992571247739
BRZE,2026-01-31,205170000.0,0.6548423258761027,0.06769995613393771,2830433792,2788745792.0,0.07507781306001826
BRZE,2026-04-30,210999000.0,0.6571737306811881,0.12697216574486134,2830433792,2766600792.0,0.028410586343032618
CART,2025-03-31,897000000.0,0.7480490523968785,0.31215161649944256,11373091840,9837091840.0,
CART,2025-06-30,914000000.0,0.7417943107221007,0.20459518599562362,11373091840,9921091840.0,0.018952062430323213
CART,2025-09-30,939000000.0,0.7369542066027689,0.2896698615548456,11373091840,9720091840.0,0.027352297592997843
CART,2025-12-31,992000000.0,0.7227822580645161,0.17237903225806453,11373091840,10772091840.0,0.056443024494142735
CART,2026-03-31,1019000000.0,0.7242394504416094,0.24730127576054955,11373091840,10776091840.0,0.027217741935483764
CHWY,2025-04-30,3116000000.0,0.29646983311938385,0.01562901155327343,8548776960,8432576960.0,
CHWY,2025-07-31,3104200000.0,0.30352425745763806,0.034115069905289605,8548776960,8451076960.0,-0.003786906290115577
CHWY,2025-10-31,3116600000.0,0.2978245523968427,0.0564076236924854,8548776960,8396376960.0,0.0039945879775786786
CHWY,2026-01-31,3264700000.0,0.29396269182466994,0.07106319110484884,8548776960,8207376960.0,0.047519733042417966
CHWY,2026-04-30,3357200000.0,0.30126295722625995,0.021089002740378886,8548776960,8547676960.0,0.028333384384476412
COIN,2025-03-31,2034295000.0,0.7544018935306827,0.4191594631063833,41908707328,38179678328.0,
COIN,2025-06-30,1497208000.0,0.7153241233015052,-0.47217687856329915,41908707328,38778834328.0,-0.26401628082456086
COIN,2025-09-30,1868693000.0,0.7460813520465909,-0.419820163076546,41908707328,40604068328.0,0.2481184978974198
